"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
БАНАНЫ	2.98	2.94	3.02	3.05	3.18	2.89	2.99	2.98
СУХОФРУКТЫ	8.68	7.18	6.93	6.42	8.42	10.36	9.52	10.21
ОРЕХИ	18.06	17.35	19.98	14.58	14.65	19.20	13.79	27.81
ФРУКТЫ КОНСЕРВИРОВАННЫЕ	5.90	5.50	6.00	6.14	5.82	5.64	6.01	6.71
КОНСЕРВЫ ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО И  ДИЕТИЧЕСКОГО ПИТАНИЯ (включая стоимость посуды)	10.13	10.18	8.95	9.26	8.03	12.13	9.15	10.51
"СОК	 НЕКТАР ФРУКТОВЫЙ	 ЯГОДНЫЙ (за 1 л)"	2.19	2.12	1.99	2.20	2.07	2.50	2.03	1.92
"СОК	 НЕКТАР ОВОЩНОЙ	 ПЛОДООВОЩНОЙ (за 1 л)"	2.16	2.39	2.09	2.15	2.27	1.99	2.20	2.22
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ 	1.48	1.24	1.31	1.40	1.57	1.70	1.50	1.35
ВОДА МИНЕРАЛЬНАЯ 	1.12	0.91	1.12	0.87	1.02	1.08	1.51	1.42
КВАС (за 1 л)	1.27	1.28	1.22	1.31	1.33	1.27	1.27	1.24
ОБЕД В СТОЛОВОЙ (из четырех блюд) (для 1 человека)	3.46	3.18	3.43	3.13	3.04	4.06	3.44	3.04
"ОБЕД  В РЕСТОРАНЕ	 КАФЕ (заказной из четырех блюд) (для 1 человека ) "	11.25	12.67	10.51	13.13	6.63	11.84	11.96	9.66
"КОФЕ В ОРГАНИЗАЦИЯХ ОБЩЕСТВЕННОГО                        ПИТАНИЯ (за 0	2 л)"	3.53	2.81	2.80	2.91	2.87	6.10	1.83	1.96
"СОК В ОРГАНИЗАЦИЯХ ОБЩЕСТВЕННОГО                           ПИТАНИЯ (за 0	2 л)"	0.98	0.90	0.87	1.02	0.72	1.30	0.72	0.85
СИГАРЕТЫ С ФИЛЬТРОМ ОТЕЧЕСТВЕННЫЕ (за 1 пачку  20 шт.)	1.45	1.41	1.48	1.50	1.32	1.51	1.35	1.45
СИГАРЕТЫ БЕЗ ФИЛЬТРА ОТЕЧЕСТВЕННЫЕ (за 1 пачку 20 шт.)	0.83	0.78	0.82	0.84	0.81	0.88	0.85	0.79
СИГАРЕТЫ С ФИЛЬТРОМ ИМПОРТНЫЕ (за 1 пачку 20 шт.)	3.02	3.07	2.98	3.09	3.06	2.86	3.12	3.17
МАЙОНЕЗ	5.43	5.45	5.28	5.05	5.39	5.62	5.68	5.25
УКСУС (за 1 л)	1.60	1.35	1.79	1.51	1.42	1.75	1.64	1.56
ГОРЧИЦА ПИЩЕВАЯ (за 100 г)	0.76	0.79	0.72	0.89	0.71	0.74	0.78	0.70
СОДА ПИЩЕВАЯ	2.55	2.26	2.58	2.57	2.55	2.70	2.52	2.48
"ПЕРЕЦ ЧЕРНЫЙ	 КРАСНЫЙ	 ДУШИСТЫЙ (молотый	 горошек)         (за 50 г)"	4.20	4.09	3.92	4.52	4.26	4.22	4.26	4.06
ЖЕВАТЕЛЬНАЯ РЕЗИНКА (за 1 упаковку 10 шт.)	1.02	0.99	0.95	0.97	1.01	1.09	1.00	1.00
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ								
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ (ширина 90 см) (за 1 пог. м)	3.81	3.89	3.76	3.57	3.23	3.42	5.45	3.51
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (ширина 150 см)          (за 1 пог. м)	24.52	22.58	23.96	22.94	22.04	26.12	25.40	26.78
ТКАНЬ ЛЬНЯНАЯ (ширина 150 см) (за 1 пог. м)	13.64	11.95	12.68	12.72	12.54	16.25	13.81	11.72
ТКАНЬ ШЕЛКОВАЯ (ширина 100 см) (за 1 пог. м)	8.97	7.19	6.87	7.65	7.97	12.02	8.70	8.38
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г)	6.08	5.86	5.53	5.80	5.00	7.57	5.25	5.44
КУРТКА ЗИМНЯЯ МУЖСКАЯ  	180.41	167.19	177.30	180.48	209.78	205.10	127.39	176.15
ПАЛЬТО (ПОЛУПАЛЬТО) ДЕМИСЕЗОННОЕ МУЖСКОЕ	234.71	254.09	194.65	209.64	197.18	286.83	205.91	221.57
КУРТКА ИЗ ПЛАЩЕВОЙ ТКАНИ (ТИПА ВЕТРОВКИ) МУЖСКАЯ  	95.23	84.05	93.73	109.61	103.69	98.48	91.47	79.46
КОСТЮМ МУЖСКОЙ	219.12	204.22	199.50	213.44	198.23	256.15	203.76	207.94
ДЖИНСЫ МУЖСКИЕ	62.45	58.82	61.64	58.88	56.34	74.24	56.50	54.24
БРЮКИ МУЖСКИЕ     	63.94	56.83	56.13	59.94	57.21	76.77	61.70	61.84
СОРОЧКА ВЕРХНЯЯ МУЖСКАЯ	42.04	37.98	38.43	39.79	40.87	46.99	42.48	41.44
КОСТЮМ СПОРТИВНЫЙ  МУЖСКОЙ 	83.97	77.34	81.55	83.05	68.74	98.65	75.79	82.31
ШАПКА МЕХОВАЯ МУЖСКАЯ	208.04	131.39	151.04	242.68	192.11	250.02		227.75
"СВИТЕР	 ДЖЕМПЕР ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКОЙ"	57.07	49.03	46.95	49.31	41.54	81.32	49.40	48.34
"СВИТЕР	 ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ МУЖСКОЙ"	38.20	35.46	37.41	38.82	35.67	43.02	33.75	37.10
МАЙКА МУЖСКАЯ	8.28	7.18	8.45	7.50	8.22	9.30	8.43	7.55
ТРУСЫ МУЖСКИЕ	7.52	7.42	7.61	7.38	7.68	7.27	7.82	7.92
"ФУФАЙКА	 ТЕННИСКА ИЗ ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА МУЖСКАЯ"	15.73	15.00	15.69	15.38	15.47	17.20	13.80	16.03
НОСКИ ИЗ ХЛОПЧАТОБУМАЖНОЙ И СМЕСОВОЙ ПРЯЖИ МУЖСКИЕ 	2.25	2.25	2.15	2.17	2.36	2.19	2.47	2.18
НОСКИ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКИЕ 	3.32	3.32	3.48	2.95	3.47	3.64	3.19	2.75
"ДУБЛЕНКА	 КУРТКА КОЖАНАЯ НА МЕХУ МУЖСКАЯ"	806.29	713.59	783.57	972.90	1111.50	723.98	700.00	799.01
ШЛЯПА ИЛИ КЕПКА МУЖСКАЯ	28.65	22.58	22.63	30.77	24.69	37.85	26.99	21.18
"ПИДЖАК ИЗ ПОЛУШЕРСТЯНОЙ	 СИНТЕТИЧЕСКОЙ ИЛИ СМЕСОВОЙ ТКАНИ МУЖСКОЙ "	140.04	138.26	123.14	121.10	122.44	168.06	131.62	138.83
ПАЛЬТО ЗИМНЕЕ ЖЕНСКОЕ	301.45	317.21	295.31	297.77	345.43	282.98	274.45	338.29
ДУБЛЕНКА ЖЕНСКАЯ	806.95	843.80	741.08	1006.90	1038.44	626.27	800.00	846.19
ПАЛЬТО ДЕМИСЕЗОННОЕ ЖЕНСКОЕ	210.36	180.22	190.92	205.56	191.20	251.23	210.64	183.51
КУРТКА ЖЕНСКАЯ	115.97	100.52	100.31	105.17	108.71	137.10	112.28	122.78
"КОСТЮМ ИЗ ПОЛУШЕРСТЯНОЙ	 СМЕСОВОЙ ИЛИ СИНТЕТИЧЕСКОЙ ТКАНИ ЖЕНСКИЙ "	149.56	123.22	128.74	121.50	118.85	185.09	182.80	132.15
